date,market,close,turnover,ret_1d,turnover_ratio,turnover_ratio_pctl60
2022-01-03,KOSDAQ,1037.83,,,,
2022-01-04,KOSDAQ,1031.66,,-0.005945096981201048,,
2022-01-05,KOSDAQ,1009.62,,-0.021363627551712838,,
2022-01-06,KOSDAQ,980.3,,-0.029040629147600083,,
2022-01-07,KOSDAQ,995.16,,0.015158624910741603,,
2022-01-10,KOSDAQ,980.38,,-0.014851883114273101,,
2022-01-11,KOSDAQ,969.92,,-0.010669332299720558,,
2022-01-12,KOSDAQ,991.33,,0.022073985483338943,,
2022-01-13,KOSDAQ,983.25,,-0.008150666276618312,,
2022-01-14,KOSDAQ,971.39,,-0.012062039155860682,,
2022-01-17,KOSDAQ,957.9,,-0.013887316114022163,,
2022-01-18,KOSDAQ,943.94,,-0.01457354629919605,,
2022-01-19,KOSDAQ,933.9,,-0.010636269254401864,,
2022-01-20,KOSDAQ,958.7,,0.026555305707249177,,
2022-01-21,KOSDAQ,942.85,,-0.016532804839887394,,
2022-01-24,KOSDAQ,915.4,,-0.0291138569231586,,
2022-01-25,KOSDAQ,889.44,,-0.028359187240550532,,
2022-01-26,KOSDAQ,882.09,,-0.008263626551538117,,
2022-01-27,KOSDAQ,849.23,,-0.03725243455883187,,
2022-01-28,KOSDAQ,872.87,,0.027836981736396593,,
2022-01-03,KOSPI,2988.77,,,,
2022-01-04,KOSPI,2989.24,,0.00015725532576937873,,
2022-01-05,KOSPI,2953.97,,-0.011798985695360642,,
2022-01-06,KOSPI,2920.53,,-0.011320358703710509,,
2022-01-07,KOSPI,2954.89,,0.011764987861792031,,
2022-01-10,KOSPI,2926.72,,-0.009533349803207636,,
2022-01-11,KOSPI,2927.38,,0.00022550841898105745,,
2022-01-12,KOSPI,2972.48,,0.015406267720623923,,
2022-01-13,KOSPI,2962.09,,-0.0034953977823231064,,
2022-01-14,KOSPI,2921.92,,-0.01356137051878914,,
2022-01-17,KOSPI,2890.1,,-0.010890099660497254,,
2022-01-18,KOSPI,2864.24,,-0.008947787273796748,,
2022-01-19,KOSPI,2842.28,,-0.007666955283076704,,
2022-01-20,KOSPI,2862.68,,0.007177336504496257,,
2022-01-21,KOSPI,2834.29,,-0.00991728031075767,,
2022-01-24,KOSPI,2792.0,,-0.014920844373723208,,
2022-01-25,KOSPI,2720.39,,-0.02564828080229231,,
2022-01-26,KOSPI,2709.24,,-0.004098677027926212,,
2022-01-27,KOSPI,2614.49,,-0.034972907531263364,,
2022-01-28,KOSPI,2663.34,,0.01868433231720168,,
