date,market,close,turnover
2022-01-03,KOSDAQ,1037.83,
2022-01-03,KOSPI,2988.77,
2022-01-04,KOSDAQ,1031.66,
2022-01-04,KOSPI,2989.24,
2022-01-05,KOSDAQ,1009.62,
2022-01-05,KOSPI,2953.97,
2022-01-06,KOSDAQ,980.3,
2022-01-06,KOSPI,2920.53,
2022-01-07,KOSDAQ,995.16,
2022-01-07,KOSPI,2954.89,
2022-01-10,KOSDAQ,980.38,
2022-01-10,KOSPI,2926.72,
2022-01-11,KOSDAQ,969.92,
2022-01-11,KOSPI,2927.38,
2022-01-12,KOSDAQ,991.33,
2022-01-12,KOSPI,2972.48,
2022-01-13,KOSDAQ,983.25,
2022-01-13,KOSPI,2962.09,
2022-01-14,KOSDAQ,971.39,
2022-01-14,KOSPI,2921.92,
2022-01-17,KOSDAQ,957.9,
2022-01-17,KOSPI,2890.1,
2022-01-18,KOSDAQ,943.94,
2022-01-18,KOSPI,2864.24,
2022-01-19,KOSDAQ,933.9,
2022-01-19,KOSPI,2842.28,
2022-01-20,KOSDAQ,958.7,
2022-01-20,KOSPI,2862.68,
2022-01-21,KOSDAQ,942.85,
2022-01-21,KOSPI,2834.29,
2022-01-24,KOSDAQ,915.4,
2022-01-24,KOSPI,2792.0,
2022-01-25,KOSDAQ,889.44,
2022-01-25,KOSPI,2720.39,
2022-01-26,KOSDAQ,882.09,
2022-01-26,KOSPI,2709.24,
2022-01-27,KOSDAQ,849.23,
2022-01-27,KOSPI,2614.49,
2022-01-28,KOSDAQ,872.87,
2022-01-28,KOSPI,2663.34,
